iso-date,precip,tmin,tavg,tmax,globrad,wind,relhumid
1981-01-01,2.76,-2.56,0.7350000000000001,4.03,1.82,12.32,80.71
1981-01-02,14.51,-2.81,-1.41,-0.01,1.63,7.41,98.01
1981-01-03,11.87,-0.62,1.515,3.65,1.63,12.24,95.36
1981-01-04,2.03,-0.55,1.3399999999999999,3.23,2.90,8.27,86.17
1981-01-05,2.61,-5.13,-2.66,-0.19,1.96,9.61,81.62
1981-01-06,0.23,-7.10,-5.029999999999999,-2.96,4.15,4.00,83.24
1981-01-07,0.14,-11.04,-8.28,-5.52,3.03,3.12,76.32
1981-01-08,0.00,-15.72,-11.98,-8.24,4.90,1.59,73.63
1981-01-09,0.00,-18.72,-12.82,-6.92,4.79,1.24,78.79
1981-01-10,0.32,-14.68,-10.79,-6.90,1.73,0.43,92.99
1981-01-11,0.17,-8.80,-6.010000000000001,-3.22,1.75,1.64,100.00
1981-01-12,0.10,-6.70,-5.035,-3.37,1.77,4.16,95.17
1981-01-13,0.00,-10.98,-7.33,-3.68,2.10,1.42,99.26
1981-01-14,4.64,-8.40,-5.815,-3.23,5.43,4.44,80.79
1981-01-15,8.40,-6.75,-3.515,-0.28,1.83,7.54,100.00
1981-01-16,1.25,-8.02,-5.395,-2.77,4.62,6.04,85.58
1981-01-17,6.91,-13.95,-8.365,-2.78,1.89,3.50,100.00
1981-01-18,3.40,-4.68,-3.105,-1.53,1.91,1.26,94.66
1981-01-19,7.82,-4.48,-2.9850000000000003,-1.49,2.17,4.19,95.86
1981-01-20,0.30,-4.84,-2.69,-0.54,1.96,5.00,93.78
1981-01-21,0.02,-5.10,-3.3649999999999998,-1.63,3.04,5.08,96.52
1981-01-22,0.00,-6.17,-4.635,-3.10,3.01,4.07,80.79
1981-01-23,0.00,-12.92,-7.64,-2.36,4.79,1.82,87.14
1981-01-24,0.00,-7.57,-4.335,-1.10,2.07,0.89,88.01
1981-01-25,1.23,-6.12,-3.555,-0.99,2.11,4.93,93.64
1981-01-26,0.14,-6.22,-3.46,-0.70,5.56,6.49,78.19
