iso-date,precip,tmin,tavg,tmax,globrad,wind,relhumid
2011-01-01,0,-1.8,0.7000000000000001,3.2,2.736,0,88
2011-01-02,0,-2.5,1.5,5.5,2.379,0,85
2011-01-03,0,-1.8,2.45,6.7,7.004,0,61
2011-01-04,0,-2.7,0.34999999999999987,3.4,4.883,0,66
2011-01-05,0,-2.4,-0.75,0.9,1.45,0,68.5
2011-01-06,2,-0.6,0.45,1.5,0.81,0,83.5
2011-01-07,2.6,0.6,1.75,2.9,0.659,0,96
2011-01-08,0,2.7,4.2,5.7,1.726,0,92.5
2011-01-09,0,4,4.95,5.9,1.287,0,97.5
2011-01-10,6.8,5.5,7.35,9.2,1.023,0,98.5
2011-01-11,0.2,6.8,7.65,8.5,1.349,0,97
2011-01-12,0,4,6.85,9.7,2.83,0,87.5
2011-01-13,0,4,4.6,5.2,0.897,0,98.5
2011-01-14,0,4.2,4.9,5.6,1.13,0,94
2011-01-15,0,0.7,5.1,9.5,5.259,0,83.5
2011-01-16,0,0.5,2.65,4.8,1.889,0,98.5
2011-01-17,0,1.5,2.25,3,1.908,0,98.5
2011-01-18,0,0.6,1.35,2.1,1.751,0,98.5
2011-01-19,2,0.1,2.6999999999999997,5.3,1.437,0,95
2011-01-20,4.4,2.5,5.15,7.8,3.477,0,73
2011-01-21,0,2.1,4.25,6.4,4.086,0,59.5
2011-01-22,0,0,2.75,5.5,7.726,0,57.5
2011-01-23,0,-2.4,1.9000000000000001,6.2,8.592,0,64.5
2011-01-24,0,-3.7,0.0,3.7,7.613,0,78.5
2011-01-25,0,-1.6,2.4000000000000004,6.4,7.631,0,72
2011-01-26,0,-1,2.45,5.9,6.552,0,73
2011-01-27,0,1.7,4.55,7.4,3.132,0,71
2011-01-28,0,2.2,4.7,7.2,7.079,0,61.5
2011-01-29,0,0.7,3.0,5.3,4.412,0,62.5
2011-01-30,0,0.3,2.75,5.2,1.971,0,66.5
2011-01-31,0,0.5,4.85,9.2,8.749,0,68
2011-02-01,0,-1.8,3.65,9.1,9.094,0,67.5
2011-02-02,0,-3.9,4.3999999999999995,12.7,10.223,0,59
2011-02-03,0,-1.6,5.25,12.1,8.592,0,60.5
2011-02-04,0,-2.9,4.3999999999999995,11.7,9.847,0,66
2011-02-05,0,-1,4.65,10.3,6.903,0,72
2011-02-06,0,-2.6,5.95,14.5,9.916,0,65.5
2011-02-07,0,-2.9,5.75,14.4,8.767,0,73
2011-02-08,0,-2.7,2.4,7.5,5.523,0,89.5
2011-02-09,0,-2,5.75,13.5,10.343,0,71.5
2011-02-10,0,0.2,7.8,15.4,10.242,0,65.5
2011-02-11,0,-2.6,4.55,11.7,8.585,0,76.5
2011-02-12,0,2.8,7.25,11.7,8.002,0,79.5
2011-02-13,0,5.2,7.4,9.6,2.485,0,86
2011-02-14,0,4.6,7.6499999999999995,10.7,3.828,0,86.5
2011-02-15,0,5.8,7.699999999999999,9.6,2.925,0,89
2011-02-16,33.4,6.6,7.5,8.4,1.079,0,93
2011-02-17,5.2,6.5,8.1,9.7,4.829,0,85
2011-02-18,0.6,5.7,10.0,14.3,10.427,0,77
2011-02-19,0,3,8.15,13.3,12.119,0,72
